Image,Width,Height,Area,Perimeter,Aspect_Ratio,Compactness,Solidity
001f3a88501980a5eca6f6346a0ca8d9.png,542,883,152695.5,4007.3476526737213,0.6138165345413363,8.369084235856736,0.5138632753607582
00a19f879a88dafab8af4eabbfef045a.png,389,765,102531.0,3570.4734222888947,0.5084967320261438,9.894333669889383,0.52769292925134
00bb4d84c9cf8903eeb0671eb66bd739.png,531,868,130144.0,4266.7862503528595,0.6117511520737328,11.13186059713776,0.45407174420085444
00eacdd1f9d8d1d01475e73e7152efe9.png,540,846,121754.0,4022.3943380117416,0.6382978723404256,10.574898005090642,0.4238784561931221
00f990c2bc7c8e9fab68aa0f0b8ddb3f.png,451,767,92521.0,3755.232867836952,0.5880052151238592,12.128960026510597,0.4391229027741522
010191c608385f7e97afed2d59ac471b.png,445,765,88377.5,3830.176080584526,0.5816993464052288,13.20948552644079,0.40459219176326244
0122fc59d2e51f43615c3f4b4b95589a.png,561,867,120894.5,4291.455298662186,0.6470588235294118,12.122516357083729,0.40752351625533234
012ca70a651b0bc2e37b1eca204bb12c.png,446,839,128349.5,4265.053276062012,0.531585220500596,11.278332024251034,0.493265847692287
013f966ffdec4f00a1de9496b3bb14c7.png,478,818,111771.5,4043.063379883766,0.5843520782396088,11.638048309714318,0.4444875259234515
014ccba9cc82c5550b42e586d6793562.png,353,804,112619.0,3995.080628633499,0.43905472636815923,11.277934464411167,0.6003032992454832
015a93aa9265f25f7033402ec8e3652a.png,480,811,100933.0,3910.7963572740555,0.591861898890259,12.058335361252212,0.42518424594490417
0182acba9ce97abb60387d37023856bc.png,486,819,131629.5,4051.1710282564163,0.5934065934065934,9.92197345311177,0.5251672697821204
01bdf71817337f95176d224eff873782.png,431,834,114732.0,4040.771971821785,0.5167865707434053,11.324896925517647,0.49539287904040624
01e09f8bc11aaf8e7bb071577c6aad6c.png,594,845,122267.0,4201.888847589493,0.7029585798816568,11.49132213590947,0.3800375166874661
01ec2085a12d883610f6bddf662d43aa.png,541,814,117128.0,4031.2959225177765,0.6646191646191646,11.041263308062158,0.43074829681796867
02c74f804d0c0df70f2e89c2af6fde01.png,501,884,145165.5,4113.181133985519,0.5667420814479638,9.274326733556615,0.5068371189307804
02cd1b8abd5505481ee0d1b88d62d73d.png,382,838,118142.0,4145.967929720879,0.45584725536992843,11.578110605774503,0.5444934001917263
030ef1c4c2470832c99b5ae6655af58c.png,433,824,107754.0,4064.28669154644,0.5254854368932039,12.19903298025059,0.48680700343575856
032de8cbe627f498f5eef00d2cb38a06.png,397,811,105349.0,3824.1790457963943,0.48951911220715166,11.046791406678032,0.49163145257823126
0347898b2e3f7aa483185c22c3a82648.png,608,882,176968.5,4004.7690052986145,0.6893424036281179,7.211890238466004,0.5361950643094123
034a71aae00bdba256c93025fc6fa9c2.png,538,831,112279.0,4091.2715340852737,0.6474127557160048,11.863373627771987,0.42337800435900724
03897fed846f9c0423173eb0deaeec63.png,507,843,123915.0,4072.5263664722443,0.6014234875444839,10.651090239480279,0.4425417176325634
0398cf57d6de526ed721d5a9b5bd908d.png,402,884,152189.0,3840.0957859754562,0.45475113122171945,7.710649949957624,0.6201809739012081
03b953ddd4eccdf1052b814477add966.png,389,846,135468.0,4005.281637907028,0.4598108747044917,9.423658426539514,0.5848540973202606
03c7f2ec6f04f86544653efb6ede232e.png,525,816,127365.0,3781.860284805298,0.6433823529411765,8.93616125106609,0.47947281142768944
03e209219f767381152f56f908803db6.png,409,824,109481.0,4026.7618688344955,0.4963592233009709,11.785914202251687,0.5037083045778697
03f92cd461c39b84bc7eceb26989fada.png,402,845,150716.5,4108.127310633659,0.4757396449704142,8.910808769072954,0.6093075999466359
04306e036df32d2d112ec6c9d34b26be.png,318,767,94523.5,3546.206396460533,0.41460234680573665,10.587132768141695,0.5413298513574265
043e0f84792df2dc8b55d2fafabec4d6.png,591,875,138499.5,4285.268568396568,0.6754285714285714,10.551106853917288,0.4037909842039895
04842d3a2f339b05d9efa296d2e0ea21.png,445,798,106141.5,3967.832934975624,0.5576441102756893,11.803523556089951,0.45965415995426906
048e6c8b034e100404db1191e628aa17.png,387,820,120721.0,4022.1100640296936,0.4719512195121951,10.663879113859,0.5652552570831909
049e2f6c6ca086972310a00143f56697.png,435,869,138810.5,4158.588207364082,0.5005753739930955,9.914245133367384,0.5589399466872831
04a8b8286e19d3892b5026d4941e4dd5.png,320,806,109491.5,3702.289658665657,0.3970223325062035,9.962091317426353,0.5784829889023028
04ca320d904cc0beac5560cf6c2d6edd.png,518,846,108782.0,3928.369956254959,0.6122931442080378,11.289062011262768,0.40907330317422713
04e8425eee9f5c769ad8430ebb8b79d4.png,339,829,103649.0,3932.59117269516,0.4089264173703257,11.873605615997363,0.5330299173319962
04ffb18e4870f00b57a4545f2c200691.png,414,824,109145.0,3868.296795964241,0.5024271844660194,10.910028041705509,0.48322364561680803
0504222db0ed524f013971eae7b7973f.png,382,851,129093.0,4282.595346689224,0.4488836662749706,11.30580587047299,0.5820938930936294
050b324c4425dc9f5ecb0e34a0c123ae.png,649,784,141029.0,3720.5120873451233,0.8278061224489796,7.8106494954467935,0.44017778277167585
052b7e059ec26b5329054dbf4cd3ec55.png,397,864,127262.5,4335.406528830528,0.45949074074074076,11.753016344366499,0.5374385807102783
054214eeeb331fb3e11b00cb02e26b08.png,339,791,99141.5,3729.794268846512,0.42857142857142855,11.16617436053278,0.5295793983163113
0572d6f3d0cc196b87f7f013d89e74ad.png,392,797,113238.5,3680.102926969528,0.4918444165621079,9.517348205983664,0.5305737572419544
059dfdef03225feaef0a4facae589405.png,476,817,136597.5,3848.0684366226196,0.5826193390452876,8.626466883578674,0.5522236910724898
05c609c2e68926db5770077cffdccf54.png,539,838,112059.5,4141.229905366898,0.6431980906921241,12.178677739330263,0.4045958626765331
05e3a51107defec6c8a217c041ac86a8.png,368,840,125324.0,4088.2866913080215,0.4380952380952381,10.613010020689204,0.5880994838104177
05f7cd33d784ba1de0af501c4c8d4108.png,367,828,122090.0,4092.8207429647446,0.44323671497584544,10.91831173596541,0.5816219100293931
05f8ad70f1cefe14f8fe46e9c28139e5.png,439,828,118850.5,3956.3628112077713,0.5301932367149759,10.480484131734169,0.5012060945729961
05feab8b556ff72ef100dfbc0c0f1434.png,384,798,108288.5,3822.9313517808914,0.48120300751879697,10.73991383242966,0.5319485482844926
0630f88dc2ad1b52e64ae9ca0199138d.png,573,850,123355.0,4189.178169488907,0.6741176470588235,11.3211629581955,0.4102118150180988
064688cc59fd5272a4f02a56943c32eb.png,386,851,122524.0,4275.139502644539,0.4535840188014101,11.870514722092215,0.5290533742675665
0664127259cf1d3f1d92a32962787ed5.png,429,790,96575.0,3860.595345377922,0.5430379746835443,12.28100716114668,0.42415870980209586
0691a095be93424d0e4d033bb3361d50.png,406,811,105590.5,3850.446070432663,0.5006165228113441,11.173452308059858,0.48897054567261494
06bf7206e43770bd59b5242e6e6e77b0.png,596,839,132461.5,4020.1071009635925,0.7103694874851013,9.709027117977325,0.4259177980884398
07084298bc8c61c0e470c5a22dd802ef.png,587,850,125128.0,4340.006595373154,0.6905882352941176,11.978885450839067,0.3842572688523382
073923d9d64a63eb03ddde128a34fa72.png,290,819,107289.5,3850.515051007271,0.3540903540903541,10.996907328469879,0.6022340410603275
0771b02749e1ad9dac6ff111c027466d.png,433,849,124107.5,4085.014611363411,0.5100117785630153,10.699890596323147,0.5081468500688884
07aeb5983a8afb2c5509a03f42d9cd1f.png,366,807,112842.5,3892.328320145607,0.45353159851301117,10.684061246554423,0.5354698188012935
07b8cd30daae23f6b1b9280f8c2212f6.png,493,859,140212.5,4070.22485268116,0.5739231664726426,9.402432116584455,0.4986468031836578
07bf2f074922e107181b6c028505cfc2.png,433,824,124195.5,3924.9456318616867,0.5254854368932039,9.870782133493345,0.5211575824461724
07e1ad567cf1af383e236e9880011a74.png,356,822,112420.5,4086.980123281479,0.43309002433090027,11.823598522601364,0.5455253484732685
07e40d5b514b2785938b0cfae03d0046.png,389,824,111505.5,4147.74967622757,0.4720873786407767,12.277753864575606,0.5180844366283892
07ff1d0aef9d5190e92cca6d1b588d08.png,466,839,130737.0,4157.94354569912,0.5554231227651967,10.523223582240325,0.5120114357327485
084193770b05e5cc7bfa842da16f6ab2.png,344,868,134397.0,3938.9729828834534,0.39631336405529954,9.186848732592459,0.6191712410652379
08632570302905702d74fa5e8065a5d8.png,403,776,109546.0,3651.281638741493,0.5193298969072165,9.684657762485177,0.5235723708107901
08876890daf4c1f29b1df5b60157e92f.png,371,846,130169.0,3856.296797633171,0.4385342789598109,9.091247287104173,0.6068315105404977
088ebf237aa59e8094bfeebe49f9ab4a.png,415,920,143067.0,4376.727377414703,0.45108695652173914,10.654906838172753,0.543937556316796
08df0a55a08b7d54cf5065924c6ed519.png,510,803,101437.0,3881.8501822948456,0.635118306351183,11.82146442423701,0.386571723103717
08ef9d2ad566e0615228f0df8837559e.png,414,826,125949.0,3888.7130962610245,0.5012106537530266,9.554483564657575,0.5882347446564555
091dcce1c6acbac0fa26446a342bfc7f.png,337,885,121404.5,4135.367864370346,0.3807909604519774,11.209433075607786,0.5690191345511642
099a67cb3315d5c3797d29e5c8bd006c.png,414,850,124485.5,4067.8918104171753,0.48705882352941177,10.578160588203287,0.5377180819586449
09a213c921ba40405082e94e72d57f50.png,470,829,119541.0,3897.992314219475,0.5669481302774427,10.11475128886275,0.49185528367641673
09bebe55b31bf31879da21d42be9b85d.png,430,839,113198.0,4045.0907360315323,0.5125148986889154,11.502915190440154,0.4818443215218377
09d2bee2bc4927f2a7ab4edc318ce555.png,425,813,106844.5,3919.416632294655,0.5227552275522755,11.44144368776885,0.475897671166065
09dbaa3516f1c83387ee81521782fd8d.png,359,827,122923.5,3571.8876346349716,0.43409915356711004,8.259443660817908,0.5993724614431925
09ec6927f8d675f821c9abc8e1a4d5c6.png,413,794,110352.0,3981.247149348259,0.5201511335012594,11.430051962667486,0.4893658536585366
09f359f49ffb393fe45c406971508edf.png,452,831,124642.5,3960.1273094415665,0.5439229843561973,10.012494264118045,0.49815951655835594
0a1bc69ee91c46b9f25c214c432554e5.png,381,868,131333.5,4202.980122327805,0.43894009216589863,10.703585679557513,0.5710723246237667
0a44f2ea5ca1b122ab4a2b979ed72be4.png,385,822,115622.0,3963.742535352707,0.4683698296836983,10.813356789250335,0.5450923911378053
